ext_recipe_id,ingredient_pos,ingredient_text_norm,quantity,unit,ingredient_core
11,6,2 cups shredded cheddar cheese,2.0,cup,shredded cheddar cheese
11,7,3 large eggs,3.0,,large eggs
11,8,2 tablespoons milk or half-and-half,2.0,tbsp,milk or half-and-half
11,9,3 cups tortilla chips,3.0,cup,tortilla chips
11,10,"salsa, hot sauce, sour cream, and/or guacamole",,,"salsa, hot sauce, sour cream, and/or guacamole"
12,1,8 ounces cream cheese,8.0,oz,cream cheese
12,2,1/2 cup confectioners sugar,0.5,cup,confectioners sugar
12,3,"8 tablespoons butter,",8.0,tbsp,butter
12,4,1 teaspoon vanilla extract,1.0,tsp,vanilla extract
12,5,1 teaspoon lemon juice,1.0,tsp,lemon juice
12,6,1/8 teaspoon salt,0.125,tsp,salt
12,7,12 slider rolls,12.0,,slider rolls
12,8,3/4 cup white sugar,0.75,cup,white sugar
12,9,1 tablespoon ground cinnamon,1.0,tbsp,ground cinnamon
13,1,2 english muffins,2.0,,english muffins
13,2,2 (5-ounce) cans tuna,2.0,,cans tuna
13,3,3 tablespoons mayonnaise,3.0,tbsp,mayonnaise
13,4,1 tablespoon mustard,1.0,tbsp,mustard
13,5,3 tablespoons celery,3.0,tbsp,celery
13,6,1 tablespoon onion,1.0,tbsp,onion
13,7,salt and freshly ground black pepper to taste,,,salt and freshly ground black pepper
13,8,4 slices provolone cheese,4.0,slice,provolone cheese
13,9,4 slices cheddar cheese,4.0,slice,cheddar cheese
14,1,1/2 cup extra virgin olive oil,0.5,cup,extra virgin olive oil
14,2,"1 lemon, zested and juiced",1.0,,"lemon, zested and juiced"
14,3,1 teaspoon kosher salt,1.0,tsp,kosher salt
14,4,1/2 teaspoon ground black pepper,0.5,tsp,ground black pepper
14,5,2 cloves garlic,2.0,clove,garlic
14,6,1 teaspoon fresh oregano,1.0,tsp,fresh oregano
14,7,1 teaspoon fresh mint,1.0,tsp,fresh mint
14,8,2 teaspoons fresh rosemary,2.0,tsp,fresh rosemary
14,9,3 teaspoons fresh parsley,3.0,tsp,fresh parsley
14,10,4 (1/2-inch-thick) lamb loin chops,4.0,,lamb loin chops
15,1,2 teaspoons pesto,2.0,tsp,pesto
15,2,1/4 teaspoon garlic powder,0.25,tsp,garlic powder
15,3,1 pound boneless chicken breasts,1.0,lb,boneless chicken breasts
15,4,2 teaspoons olive oil,2.0,tsp,olive oil
15,5,1/8 teaspoon crushed red pepper flakes,0.125,tsp,crushed red pepper flakes
15,6,1/8 teaspoon salt,0.125,tsp,salt
15,7,1/8 teaspoon ground black pepper,0.125,tsp,ground black pepper
15,8,"1 zucchini,",1.0,,zucchini
15,9,nonstick cooking spray,,,nonstick cooking spray
15,10,2 cups cooked quinoa (see note),2.0,cup,cooked quinoa
15,11,"10 basil leaves,",10.0,,basil leaves
15,12,"1 cup grape tomatoes,",1.0,cup,grape tomatoes
15,13,1/4 cup feta cheese,0.25,cup,feta cheese
16,1,1 pound salmon,1.0,lb,salmon
16,2,1 teaspoon olive oil,1.0,tsp,olive oil
16,3,1/2 teaspoon paprika,0.5,tsp,paprika
16,4,1/4 teaspoon salt,0.25,tsp,salt
16,5,1/8 teaspoon black pepper,0.125,tsp,black pepper
16,6,1/4 cup honey mustard,0.25,cup,honey mustard
17,1,1 pound salmon filet,1.0,lb,salmon filet
17,2,2 teaspoons dijon mustard,2.0,tsp,dijon mustard
17,3,1 teaspoon honey,1.0,tsp,honey
17,4,1/2 teaspoon salt,0.5,tsp,salt
17,5,1/4 teaspoon black pepper,0.25,tsp,black pepper
18,1,1 pound salmon fillet,1.0,lb,salmon fillet
18,2,1 teaspoon kosher salt,1.0,tsp,kosher salt
18,3,1 teaspoon granulated garlic,1.0,tsp,granulated garlic
18,4,1/2 cup mayonnaise,0.5,cup,mayonnaise
18,5,1 tablespoon toasted sesame oil,1.0,tbsp,toasted sesame oil
18,6,1 tablespoon soy sauce,1.0,tbsp,soy sauce
18,7,"1 1/2 teaspoons lime juice,",1.5,tsp,lime juice
18,8,1/2 cup panko (japanese-style breadcrumbs),0.5,cup,panko
18,9,1/2 cup toasted sesame seeds,0.5,cup,toasted sesame seeds
18,10,cooking spray,,,cooking spray
18,11,2 teaspoons chili garlic sauce,2.0,tsp,chili garlic sauce
18,12,1 teaspoon honey,1.0,tsp,honey
19,1,2 pounds chicken wings and drummettes,2.0,lb,chicken wings and drummettes
19,2,1 tablespoon oil,1.0,tbsp,oil
19,3,1 1/2 teaspoons kosher salt,1.5,tsp,kosher salt
19,4,1/2 teaspoon pepper,0.5,tsp,pepper
19,5,1 cup wet wet sauce,1.0,cup,wet wet sauce
19,6,"1/2 bunchgreen onions, green parts only, sliced (optional) green onions, green parts only, sliced (optional)",0.5,,"bunchgreen onions, green parts only, sliced green onions, green parts only, sliced"
19,7,1 teaspoon sesame seeds (optional),1.0,tsp,sesame seeds
20,1,24 chicken taquitos,24.0,,chicken taquitos
20,2,2 tablespoons butter,2.0,tbsp,butter
20,3,1 tablespoon hot sauce,1.0,tbsp,hot sauce
20,4,1/4 cup cotija cheese,0.25,cup,cotija cheese
20,5,1 tablespoon chopped cilantro,1.0,tbsp,chopped cilantro
20,6,"1/2 cup sour cream, or as needed for dipping",0.5,cup,"sour cream, or as needed for dipping"
21,1,1 (8 ounce) chicken breast,1.0,,chicken breast
21,2,2 teaspoons olive oil,2.0,tsp,olive oil
21,3,"1/4 teaspoon garlic powder, or to taste",0.25,tsp,"garlic powder, or"
21,4,salt and freshly ground black pepper to taste,,,salt and freshly ground black pepper
22,1,1 1/2 pounds skinless boneless chicken thighs,1.5,lb,skinless boneless chicken thighs
22,2,"3 cloves garlic, minced",3.0,clove,"garlic, minced"
22,3,1 teaspoon lemon zest,1.0,tsp,lemon zest
22,4,1 teaspoon paprika,1.0,tsp,paprika
22,5,1 teaspoon dried oregano,1.0,tsp,dried oregano
22,6,1/2 teaspoon salt,0.5,tsp,salt
22,7,1/4 teaspoon crushed red pepper,0.25,tsp,crushed red pepper
22,8,1/2 cup grated parmesan cheese,0.5,cup,grated parmesan cheese
22,9,1/4 cup panko bread crumbs,0.25,cup,panko bread crumbs
22,10,cooking spray,,,cooking spray
23,1,1 sleeve graham crackers,1.0,,sleeve graham crackers
23,2,5 (1.5 ounce) chocolate candy bars,5.0,,chocolate candy bars
23,3,10 s'more-sized marshmallows,10.0,,s'more-sized marshmallows
24,1,1 yam,1.0,,yam
24,2,1/2 teaspoon olive oil,0.5,tsp,olive oil
25,1,1/2 cup extra-virgin olive oil,0.5,cup,extra-virgin olive oil
25,2,"1/4 cup white wine, such as pinot grigio",0.25,cup,"white wine, such as pinot grigio"
25,3,3 tablespoons lemon juice,3.0,tbsp,lemon juice
25,4,1 teaspoon lemon zest,1.0,tsp,lemon zest
25,5,4 cloves garlic,4.0,clove,garlic
25,6,1/4 teaspoon crushed red pepper flakes,0.25,tsp,crushed red pepper flakes
25,7,1/4 teaspoon oregano,0.25,tsp,oregano
25,8,2 teaspoons kosher salt,2.0,tsp,kosher salt
25,9,1 teaspoon pepper,1.0,tsp,pepper
25,10,2 pounds skinless boneless chicken thighs,2.0,lb,skinless boneless chicken thighs
25,11,2/3 cup italian breadcrumbs,0.6666666666666666,cup,italian breadcrumbs
25,12,2/3 cup panko,0.6666666666666666,cup,panko
25,13,1/2 cup grated parmesan cheese,0.5,cup,grated parmesan cheese
25,14,1/2 teaspoon garlic powder,0.5,tsp,garlic powder
25,15,skewers,,,skewers
25,16,cooking spray,,,cooking spray
25,17,4 tablespoons butter,4.0,tbsp,butter
25,18,2 teaspoons fresh parsley,2.0,tsp,fresh parsley
26,1,"4 slices french bread,",4.0,slice,french bread
26,2,2 tablespoons mayonnaise,2.0,tbsp,mayonnaise
26,3,1/2 cup pimento cheese spread,0.5,cup,pimento cheese spread
26,4,1 tomato,1.0,,tomato
26,5,1/8 teaspoon dried basil,0.125,tsp,dried basil
26,6,salt and freshly ground black pepper,,,salt and freshly ground black pepper
27,1,"2 2(8-ounce) boneless skinless chicken breasts, patted dry",2.0,,"2 boneless skinless chicken breasts, patted dry"
27,2,"3/4 teaspoon kosher salt, divided",0.75,tsp,"kosher salt, divided"
27,3,"1/2 teaspoon black pepper, divided",0.5,tsp,"black pepper, divided"
27,4,1/3 cup all purpose flour,0.3333333333333333,cup,all purpose flour
27,5,"2 large eggs, lightly beaten",2.0,,"large eggs, lightly beaten"
27,6,1 1/2 cups seasoned panko (japanese-style breadcrumbs),1.5,cup,seasoned panko
27,7,"1/4 cup armesan cheese, plus more for garnish",0.25,cup,"armesan cheese, plus more for garnish"
27,8,2 tablespoons olive oil,2.0,tbsp,olive oil
27,9,1/4 teaspoon crushed red pepper,0.25,tsp,crushed red pepper
27,10,1/4 teaspoon garlic powder,0.25,tsp,garlic powder
27,11,"1 cup marinara sauce, plus more for serving",1.0,cup,"marinara sauce, plus more for serving"
27,12,1 cup mozzarella cheese,1.0,cup,mozzarella cheese
28,1,1 pound eggplant,1.0,lb,eggplant
28,2,2 tablespoons avocado oil,2.0,tbsp,avocado oil
28,3,1/2 teaspoon garlic powder,0.5,tsp,garlic powder
28,4,1/2 teaspoon dried thyme,0.5,tsp,dried thyme
28,5,1/2 teaspoon lemon pepper,0.5,tsp,lemon pepper
28,6,1/4 teaspoon salt,0.25,tsp,salt
29,1,2 to 3 russet potatoes,2.0,,to 3 russet potatoes
29,2,1 tablespoon oil,1.0,tbsp,oil
29,3,2 tablespoons riracha,2.0,tbsp,riracha
29,4,1 pinch salt,1.0,,pinch salt
30,1,1 pound red potatoes,1.0,lb,red potatoes
30,2,1 tablespoon olive oil,1.0,tbsp,olive oil
30,3,1/2 teaspoon garlic powder,0.5,tsp,garlic powder
30,4,1/4 teaspoon salt,0.25,tsp,salt
30,5,1/8 teaspoon ground black pepper,0.125,tsp,ground black pepper
30,6,2 tablespoons grated parmesan cheese,2.0,tbsp,grated parmesan cheese
31,1,4 ears corn,4.0,,ears corn
31,2,2 tablespoons olive oil,2.0,tbsp,olive oil
31,3,1 1/4 teaspoons kosher salt,1.25,tsp,kosher salt
31,4,1/2 cup butter,0.5,cup,butter
31,5,1/2 teaspoon pepper,0.5,tsp,pepper
31,6,1 teaspoon onion powder,1.0,tsp,onion powder
31,7,1 teaspoon garlic powder,1.0,tsp,garlic powder
31,8,1/4 teaspoon thyme,0.25,tsp,thyme
31,9,1/4 teaspoon oregano,0.25,tsp,oregano
31,10,1 teaspoon paprika,1.0,tsp,paprika
31,11,1/4 teaspoon cayenne pepper,0.25,tsp,cayenne pepper
32,1,¼ cup lemon juice,0.25,cup,lemon juice
32,2,3 tablespoons olive oil,3.0,tbsp,olive oil
32,3,"2 cloves garlic, minced",2.0,clove,"garlic, minced"
32,4,1 tablespoon chopped fresh tarragon,1.0,tbsp,chopped fresh tarragon
32,5,2 teaspoons dijon mustard,2.0,tsp,dijon mustard
32,6,"½ teaspoon kosher salt, divided",0.5,tsp,"kosher salt, divided"
32,7,1 (14 ounce) package shredded coleslaw mix,1.0,,package shredded coleslaw mix
32,8,¾ cup buttermilk,0.75,cup,buttermilk
32,9,2 teaspoons hot pepper sauce,2.0,tsp,hot pepper sauce
32,10,1 teaspoon cayenne pepper,1.0,tsp,cayenne pepper
32,11,1 teaspoon ground dried chipotle pepper,1.0,tsp,ground dried chipotle pepper
32,12,½ teaspoon ground black pepper,0.5,tsp,ground black pepper
32,13,"1 ½ pounds large shrimp - peeled, deveined, and tails removed",1.5,lb,"large shrimp - peeled, deveined, and tails removed"
32,14,2 cups whole wheat panko bread crumbs,2.0,cup,whole wheat panko bread crumbs
32,15,"6 (6 inch) whole-wheat hoagie rolls, split and toasted",6.0,,"whole-wheat hoagie rolls, split and toasted"
33,1,2 teaspoons sea salt,2.0,tsp,sea salt
33,2,1 teaspoon garlic powder,1.0,tsp,garlic powder
33,3,1 teaspoon mustard powder,1.0,tsp,mustard powder
33,4,1 teaspoon ground coriander,1.0,tsp,ground coriander
33,5,1 teaspoon smoked paprika,1.0,tsp,smoked paprika
33,6,½ teaspoon cayenne pepper,0.5,tsp,cayenne pepper
33,7,¼ teaspoon ground black pepper,0.25,tsp,ground black pepper
33,8,1 pound chicken wings,1.0,lb,chicken wings
34,1,8 ounces baby gold potatoes,8.0,oz,baby gold potatoes
34,2,1 tablespoon melted unsalted butter,1.0,tbsp,melted unsalted butter
34,3,1/2 teaspoon salt,0.5,tsp,salt
34,4,1/4 teaspoon garlic powder,0.25,tsp,garlic powder
34,5,1/4 teaspoon freshly ground black pepper,0.25,tsp,freshly ground black pepper
34,6,chopped fresh parsley for garnish (optional),,,chopped fresh parsley for garnish
35,1,2 flour tortillas,2.0,,flour tortillas
35,2,1/2 cup shredded cheese,0.5,cup,shredded cheese
35,3,nonstick cooking spray,,,nonstick cooking spray
36,1,1 (18 ounce) tube polenta,1.0,,tube polenta
36,2,1 1/2 tablespoons black truffle-infused olive oil,1.5,tbsp,black truffle-infused olive oil
36,3,1 1/2 teaspoon truffle zest seasoning,1.5,tsp,truffle zest seasoning
36,4,2 tablespoons shredded parmesan cheese,2.0,tbsp,shredded parmesan cheese
36,5,2 teaspoons fresh parsley,2.0,tsp,fresh parsley
37,1,1/4 cup balsamic vinegar,0.25,cup,balsamic vinegar
37,2,1/4 cup brown sugar,0.25,cup,brown sugar
37,3,"3 tablespoons vegetable oil,",3.0,tbsp,vegetable oil
37,4,3 tablespoons soy sauce,3.0,tbsp,soy sauce
37,5,1 tablespoon minced garlic,1.0,tbsp,minced garlic
37,6,1 tablespoon ginger,1.0,tbsp,ginger
37,7,"2 teaspoons crushed red pepper flakes, or more to taste",2.0,tsp,"crushed red pepper flakes, or more"
37,8,1/2 teaspoon kosher salt,0.5,tsp,kosher salt
37,9,1 1/4 pounds salmon filets,1.25,lb,salmon filets
37,10,cooking spray,,,cooking spray
38,1,"1 pound boneless chicken breasts,",1.0,lb,boneless chicken breasts
38,2,"3 tablespoons butter, melted",3.0,tbsp,"butter, melted"
38,3,1 tablespoon olive oil,1.0,tbsp,olive oil
38,4,"1 teaspoon lemon juice, or to taste",1.0,tsp,"lemon juice, or"
38,5,"3 cloves garlic, minced",3.0,clove,"garlic, minced"
38,6,1 teaspoon talian seasoning,1.0,tsp,talian seasoning
38,7,1 teaspoon salt,1.0,tsp,salt
38,8,1 teaspoon paprika,1.0,tsp,paprika
38,9,1/2 teaspoon cayenne pepper (optional),0.5,tsp,cayenne pepper
39,1,"1 bell pepper, any color",1.0,,"bell pepper, any color"
39,2,"8 ounces cream cheese, softened",8.0,oz,"cream cheese, softened"
39,3,1 (1 ounce) packet ranch dip mix,1.0,,packet ranch dip mix
39,4,2 teaspoons bacon bits,2.0,tsp,bacon bits
40,1,9 mini pepper mini bell peppers,9.0,,mini pepper mini bell peppers
40,2,5.2 ounce gournay cheese,5.2,oz,gournay cheese
40,3,"6 slices bacon, each cut into 3 short pieces",6.0,slice,"bacon, each cut into 3 short pieces"
40,4,fresh parsley for garnish (optional),,,fresh parsley for garnish
41,1,1 (12.4 ounce) can refrigerated cinnamon rolls (such as pillsbury™),1.0,,can refrigerated cinnamon rolls
41,2,1/4 cup white sugar,0.25,cup,white sugar
41,3,1/2 teaspoon ground cinnamon,0.5,tsp,ground cinnamon
41,4,"4 ounces cream cheese, softened",4.0,oz,"cream cheese, softened"
41,5,3/4 cup confectioner's sugar,0.75,cup,confectioner's sugar
41,6,1 tablespoon orange peel,1.0,tbsp,orange peel
41,7,1 tablespoon orange juice,1.0,tbsp,orange juice
41,8,icing,,,icing
42,1,4 (7-inch flour tortillas,4.0,,(7-inch flour tortillas
42,2,1/4 cup spicy mustard,0.25,cup,spicy mustard
42,3,8 thin slices deli ham,8.0,,thin slices deli ham
42,4,4 slices olby-jack cheese,4.0,slice,olby-jack cheese
42,5,2 tablespoons butter,2.0,tbsp,butter
43,1,½ cup buffalo wing sauce (such as frank's),0.5,cup,buffalo wing sauce
43,2,"1 tablespoon butter, melted",1.0,tbsp,"butter, melted"
43,3,1 teaspoon honey,1.0,tsp,honey
43,4,"1 (2 pound) cauliflower, broken into florets",1.0,,"cauliflower, broken into florets"
43,5,¼ cup all-purpose flour,0.25,cup,all-purpose flour
43,6,¼ cup cornstarch,0.25,cup,cornstarch
43,7,1 teaspoon garlic powder,1.0,tsp,garlic powder
43,8,½ teaspoon seasoned salt (such as lawry's),0.5,tsp,seasoned salt
43,9,¼ teaspoon paprika,0.25,tsp,paprika
43,10,drizzle of buffalo wing sauce (optional),,,drizzle of buffalo wing sauce
44,1,4 boneless skinless chicken thighs,4.0,,boneless skinless chicken thighs
44,2,1/2 teaspoon onion powder,0.5,tsp,onion powder
44,3,1/2 teaspoon garlic powder,0.5,tsp,garlic powder
44,4,1/2 teaspoon smoked paprika,0.5,tsp,smoked paprika
44,5,"1/4 teaspoon salt, or to taste",0.25,tsp,"salt, or"
44,6,"1/4 teaspoon black pepper, or to taste",0.25,tsp,"black pepper, or"
44,7,2 tablespoons honey,2.0,tbsp,honey
44,8,2 tablespoons ijon mustard,2.0,tbsp,ijon mustard
44,9,olive oil cooking spray,,,olive oil cooking spray
45,1,1/4 cup all-purpose flour,0.25,cup,all-purpose flour
45,2,1/4 teaspoon salt,0.25,tsp,salt
45,3,1/8 teaspoon ground black pepper,0.125,tsp,ground black pepper
45,4,1 large egg,1.0,,large egg
45,5,1/4 cup talian bread crumbs,0.25,cup,talian bread crumbs
45,6,2 tablespoons panko bread crumbs,2.0,tbsp,panko bread crumbs
45,7,2 tablespoons grated parmesan cheese,2.0,tbsp,grated parmesan cheese
45,8,"1 (14 ounce) can hearts of palm, drained",1.0,,"can hearts of palm, drained"
45,9,cooking spray,,,cooking spray
46,1,4 cups frozen french fries,4.0,cup,frozen french fries
46,2,1/4 cup olive oil,0.25,cup,olive oil
46,3,2 tablespoons ranch salad dressing mix,2.0,tbsp,ranch salad dressing mix
46,4,2 teaspoons bacon bits,2.0,tsp,bacon bits
46,5,1 pinch salt,1.0,,pinch salt
46,6,1/4 cup shredded cheddar cheese,0.25,cup,shredded cheddar cheese
47,1,cooking spray,,,cooking spray
47,2,"1/4 cup flour, plus more for dusting cake pan",0.25,cup,"flour, plus more for dusting cake pan"
47,3,3 tablespoons unsweetened dutch process cocoa powder,3.0,tbsp,unsweetened dutch process cocoa powder
47,4,1/2 teaspoon baking powder,0.5,tsp,baking powder
47,5,1/4 teaspoon baking soda,0.25,tsp,baking soda
47,6,1/4 teaspoon salt,0.25,tsp,salt
47,7,3 tablespoons buttermilk,3.0,tbsp,buttermilk
47,8,3 tablespoons unsweetened applesauce,3.0,tbsp,unsweetened applesauce
47,9,4 1/2 teaspoons canola oil,4.5,tsp,canola oil
47,10,1 teaspoon,1.0,tsp,
47,11,1/2 teaspoon vanilla extract,0.5,tsp,vanilla extract
47,12,1 large egg,1.0,,large egg
47,13,1/2 cup sugar,0.5,cup,sugar
47,14,"1 ounce dark chocolate, chopped, plus more for garnish",1.0,oz,"dark chocolate, chopped, plus more for garnish"
48,1,"2 (10-ounce) packages frozen chopped spinach, thawed and squeezed dry",2.0,,"packages frozen chopped spinach, thawed and squeezed dry"
48,2,1/2 cup feta cheese,0.5,cup,feta cheese
48,3,1/2 cup shredded mozzarella cheese,0.5,cup,shredded mozzarella cheese
48,4,1/2 cup grated parmesan cheese,0.5,cup,grated parmesan cheese
48,5,"1 clove garlic, minced",1.0,clove,"garlic, minced"
48,6,"1 (1 pound package) frozen phyllo dough, thawed",1.0,,"frozen phyllo dough, thawed"
48,7,"1/2 cup unsalted butter, melted",0.5,cup,"unsalted butter, melted"
48,8,tzatziki sauce for serving,,,tzatziki sauce for serving
48,9,fresh dill for serving,,,fresh dill for serving
49,1,2/3 cup chopped pecans,0.6666666666666666,cup,chopped pecans
49,2,"1 teaspoon dried rosemary, crushed",1.0,tsp,"dried rosemary, crushed"
49,3,1/2 teaspoon salt,0.5,tsp,salt
49,4,2 tablespoons flour,2.0,tbsp,flour
49,5,1 large egg,1.0,,large egg
49,6,"4 (4-ounce) rainbow trout fillets, thawed if frozen, skinned if desired",4.0,,"rainbow trout fillets, thawed if frozen, skinned if desired"
49,7,2 teaspoons maple syrup,2.0,tsp,maple syrup
49,8,"lemon wedges, for serving",,,"lemon wedges, for serving"
50,1,1 cup milk,1.0,cup,milk
50,2,1 large egg,1.0,,large egg
50,3,1 cup flour,1.0,cup,flour
50,4,3/4 teaspoon salt,0.75,tsp,salt
50,5,3/4 teaspoon cayenne pepper,0.75,tsp,cayenne pepper
50,6,"1/2 teaspoon paprika, plus more for garnish",0.5,tsp,"paprika, plus more for garnish"
50,7,1/4 teaspoon ground black pepper,0.25,tsp,ground black pepper
50,8,1/4 teaspoon dried oregano,0.25,tsp,dried oregano
50,9,1/8 teaspoon dried thyme,0.125,tsp,dried thyme
50,10,1/8 teaspoon cumin,0.125,tsp,cumin
50,11,1 large (14- to 16-ounces) sweet onion,1.0,,large sweet onion
50,12,cooking spray,,,cooking spray
51,1,2 large egg whites,2.0,,large egg whites
51,2,1/4 cup seltzer water,0.25,cup,seltzer water
51,3,1/2 cup flour,0.5,cup,flour
51,4,1/4 teaspoon seasoning (see variations below),0.25,tsp,seasoning
51,5,1/2 teaspoon salt,0.5,tsp,salt
51,6,1/4 teaspoon ground black pepper,0.25,tsp,ground black pepper
51,7,2 cups vegetables (,2.0,cup,vegetables (
51,8,1/2 cup purchased dipping sauce,0.5,cup,purchased dipping sauce
52,1,1 cup graham cracker crumbs,1.0,cup,graham cracker crumbs
52,2,1 tablespoon sugar,1.0,tbsp,sugar
52,3,"6 tablespoons butter, melted",6.0,tbsp,"butter, melted"
52,4,"12 ounces cream cheese, softened",12.0,oz,"cream cheese, softened"
52,5,1/3 cup sour cream,0.3333333333333333,cup,sour cream
52,6,1/3 cup sugar,0.3333333333333333,cup,sugar
52,7,1 teaspoon lemon juice,1.0,tsp,lemon juice
52,8,1 teaspoon vanilla extract,1.0,tsp,vanilla extract
52,9,1 pinch salt,1.0,,pinch salt
52,10,2 large eggs,2.0,,large eggs
52,11,2 tablespoons 2,2.0,tbsp,2
52,12,"2 tablespoons caramel ice cream topping, or to taste",2.0,tbsp,"caramel ice cream topping, or"
52,13,"2 tablespoons pecans, or to taste",2.0,tbsp,"pecans, or"
53,1,"12 ounces yukon gold potatoes,",12.0,oz,yukon gold potatoes
53,2,1 tablespoon extra-virgin olive oil,1.0,tbsp,extra-virgin olive oil
53,3,1/2 cup onion,0.5,cup,onion
53,4,1 teaspoon fresh ginger,1.0,tsp,fresh ginger
53,5,"2 cloves garlic, minced",2.0,clove,"garlic, minced"
53,6,1 teaspoon garam masala,1.0,tsp,garam masala
53,7,1/2 teaspoon cumin,0.5,tsp,cumin
53,8,1/4 teaspoon salt,0.25,tsp,salt
53,9,1/8 teaspoon cayenne pepper (optional),0.125,tsp,cayenne pepper
53,10,"2/3 cup frozen peas, thawed",0.6666666666666666,cup,"frozen peas, thawed"
53,11,"1/4 cup fresh cilantro, plus more for garnish",0.25,cup,"fresh cilantro, plus more for garnish"
53,12,24 wonton wrappers,24.0,,wonton wrappers
53,13,cooking spray,,,cooking spray
54,1,"1 medium zucchini,",1.0,,medium zucchini
54,2,"1 medium summer squash,",1.0,,medium summer squash
54,3,"1 (8- ounces package) cremini mushrooms, halved or quartered if large",1.0,,"cremini mushrooms, halved or quartered if large"
54,4,3/4 cup cauliflower florets,0.75,cup,cauliflower florets
54,5,6 any color mini bell peppers,6.0,,any color mini bell peppers
